City/Town,Adult Use Status,Delivery Status,Social Consumption Pilot Municipality
Washington,Zoning in place; retail license cap,Delivery permitted,No
Watertown,Zoning in place; retail license cap,Delivery permitted,No
Wellfleet,Zoning in place; license cap,Delivery permitted,No
West Boylston,Zoning in place; retail license cap,Delivery permitted,No
West Brookfield,Zoning in place,Delivery permitted,No
West Newbury,Zoning in place,Delivery permitted,No
West Stockbridge,Zoning in place; license cap,Delivery permitted,No
West Tisbury,Zoning in place,Delivery permitted,No
Westfield,Zoning in place; license cap,Delivery permitted,No
Westminster,Zoning in place; retail license cap,Delivery permitted,No
Whately,Zoning in place; retail license cap,Delivery permitted,No
Williamsburg,Zoning in place; retail license cap,Delivery permitted,No
Williamstown,Zoning in place,Delivery permitted,No
Winchendon,Zoning in place; retail cap,Delivery permitted,No
Windsor,Zoning in place; retail cap,Delivery permitted,No
Worcester,Zoning in place; retail license cap,Delivery permitted,No
Worthington,No zoning in place,Delivery permitted,No
